================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.1.16:41224         <-> 113.45.75.182:30145              9 5424 bytes      12 1302 bytes      21 6726 bytes    89.155259000         0.0564
192.168.1.16:42136         <-> 113.45.75.182:30145              9 5424 bytes      12 1302 bytes      21 6726 bytes   109.533731000         0.0524
192.168.1.16:48812         <-> 8.138.17.204:5669               10 1160 bytes      10 1903 bytes      20 3063 bytes   112.265492000         0.2513
127.0.0.1:37650            <-> 127.0.0.1:60122                  9 939 bytes      10 1351 bytes      19 2290 bytes    44.430139000        30.0621
127.0.0.1:47590            <-> 127.0.0.1:60146                  9 939 bytes      10 1463 bytes      19 2402 bytes    78.981408000        30.0788
192.168.1.16:40736         <-> 114.132.204.167:30139            8 5445 bytes      11 1619 bytes      19 7064 bytes   118.596434000         0.8565
192.168.1.16:44750         <-> 27.44.204.173:21003              9 658 bytes       9 3160 bytes      18 3818 bytes    60.343204000        20.9803
43.139.233.86:30139        <-> 192.168.1.16:43650               9 648 bytes       8 3726 bytes      17 4374 bytes     1.976906000        25.0630
127.0.0.1:49006            <-> 127.0.0.1:60176                  8 778 bytes       9 1259 bytes      17 2037 bytes    83.508424000        25.1680
127.0.0.1:45398            <-> 127.0.0.1:31317                  8 979 bytes       9 1748 bytes      17 2727 bytes   112.258453000         0.2610
127.0.0.1:60122            <-> 127.0.0.1:46550                  8 576 bytes       8 576 bytes      16 1152 bytes     0.089402000       107.5200
127.0.0.1:60160            <-> 127.0.0.1:42370                  8 576 bytes       8 576 bytes      16 1152 bytes     0.089444000       107.5205
127.0.0.1:60122            <-> 127.0.0.1:47124                  8 576 bytes       8 576 bytes      16 1152 bytes     3.502861000       107.5203
127.0.0.1:60146            <-> 127.0.0.1:42070                  8 576 bytes       8 576 bytes      16 1152 bytes     5.209403000       107.5208
127.0.0.1:60138            <-> 127.0.0.1:45646                  8 576 bytes       8 576 bytes      16 1152 bytes     6.916117000       107.5201
127.0.0.1:60176            <-> 127.0.0.1:43374                  8 576 bytes       8 576 bytes      16 1152 bytes     8.623493000       107.5193
127.0.0.1:60164            <-> 127.0.0.1:48358                  8 576 bytes       8 576 bytes      16 1152 bytes    12.036120000       107.5200
192.168.1.16:37032         <-> 8.138.17.204:8880                7 635 bytes       9 906 bytes      16 1541 bytes    24.673688000         0.2098
192.168.1.16:45638         <-> 47.113.219.60:8667               7 639 bytes       9 906 bytes      16 1545 bytes    24.881039000         0.2113
192.168.1.16:39952         <-> 8.138.17.204:8880                7 590 bytes       9 906 bytes      16 1496 bytes    85.319585000         0.2092
192.168.1.16:40742         <-> 47.113.219.60:8693               7 591 bytes       9 905 bytes      16 1496 bytes    85.526357000         0.2165
192.168.1.16:48324         <-> 106.14.120.21:8824               7 601 bytes       9 907 bytes      16 1508 bytes    85.731420000         0.4465
192.168.1.16:42144         <-> 113.45.75.182:30145              7 5227 bytes       9 1057 bytes      16 6284 bytes   109.577246000         0.0788
192.168.1.16:42148         <-> 113.45.75.182:30145              7 5227 bytes       9 1057 bytes      16 6284 bytes   109.618862000         0.0772
192.168.1.16:49160         <-> 8.163.70.125:30146               7 5224 bytes       9 1062 bytes      16 6286 bytes   110.801889000         0.0676
192.168.1.16:49162         <-> 8.163.70.125:30146               7 5224 bytes       9 1062 bytes      16 6286 bytes   110.831890000         0.0675
192.168.1.16:40046         <-> 8.138.203.45:30160               7 5227 bytes       9 1058 bytes      16 6285 bytes   111.331113000         0.0716
192.168.1.16:40050         <-> 8.138.203.45:30160               7 5227 bytes       9 1058 bytes      16 6285 bytes   111.388555000         0.0809
192.168.1.16:40052         <-> 8.138.203.45:30160               7 5227 bytes       9 1058 bytes      16 6285 bytes   111.431072000         0.0684
192.168.1.16:48156         <-> 8.148.243.225:30138              7 5224 bytes       9 1053 bytes      16 6277 bytes   113.092023000         0.0707
192.168.1.16:48158         <-> 8.148.243.225:30138              7 5224 bytes       9 1053 bytes      16 6277 bytes   113.125606000         0.0705
192.168.1.16:38080         <-> 8.138.11.46:30176                7 5227 bytes       9 1062 bytes      16 6289 bytes   113.340292000         0.0791
192.168.1.16:45426         <-> 175.178.252.224:30176            7 5227 bytes       9 1053 bytes      16 6280 bytes   113.532216000         0.0839
192.168.1.16:45434         <-> 175.178.252.224:30176            7 5227 bytes       9 1053 bytes      16 6280 bytes   113.579734000         0.0696
192.168.1.16:46872         <-> 8.134.111.16:30122               7 5224 bytes       9 1057 bytes      16 6281 bytes   113.694328000         0.0751
192.168.1.16:46874         <-> 8.134.111.16:30122               7 5224 bytes       9 1057 bytes      16 6281 bytes   113.733161000         0.0729
192.168.1.16:43010         <-> 113.46.128.79:30164              7 5227 bytes       9 1053 bytes      16 6280 bytes   117.285596000         0.0806
192.168.1.16:43014         <-> 113.46.128.79:30164              7 5227 bytes       9 1053 bytes      16 6280 bytes   117.352510000         0.0836
192.168.1.16:43016         <-> 113.46.128.79:30164              7 5227 bytes       9 1053 bytes      16 6280 bytes   117.398974000         0.0771
192.168.1.16:40726         <-> 114.132.204.167:30139            7 5224 bytes       9 1054 bytes      16 6278 bytes   118.480934000         0.0851
192.168.1.16:40730         <-> 114.132.204.167:30139            7 5224 bytes       9 1054 bytes      16 6278 bytes   118.551425000         0.0814
8.148.243.225:30138        <-> 192.168.1.16:42184               8 576 bytes       7 3531 bytes      15 4107 bytes     4.485544000        16.7299
192.168.1.16:39010         <-> 106.14.120.21:8798               7 591 bytes       8 841 bytes      15 1432 bytes    25.086660000         0.2382
127.0.0.1:40408            <-> 127.0.0.1:60122                  7 706 bytes       8 1235 bytes      15 1941 bytes   104.431323000        10.1282
127.0.0.1:42372            <-> 127.0.0.1:60160                  8 1387 bytes       6 1352 bytes      14 2739 bytes     0.306702000        17.9179
127.0.0.1:60145            <-> 127.0.0.1:40096                  7 504 bytes       7 504 bytes      14 1008 bytes    13.743047000        92.1597
2409:8a55:d0b2:e540:de23:c792:b390:8748:44274 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes     3.731674000        56.0913
2409:8a55:d0b2:e540:de23:c792:b390:8748:44338 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes     5.978389000        55.5518
2409:8a55:d0b2:e540:de23:c792:b390:8748:44572 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes     8.297406000        58.3523
2409:8a55:d0b2:e540:de23:c792:b390:8748:44826 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    13.733676000        54.6230
2409:8a55:d0b2:e540:de23:c792:b390:8748:44858 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    15.036657000        55.0263
2409:8a55:d0b2:e540:de23:c792:b390:8748:45022 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    18.289911000        55.1874
2409:8a55:d0b2:e540:de23:c792:b390:8748:45114 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    19.480495000        55.7024
2409:8a55:d0b2:e540:de23:c792:b390:8748:45346 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    23.733049000        54.8631
2409:8a55:d0b2:e540:de23:c792:b390:8748:45414 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    25.030385000        55.2729
2409:8a55:d0b2:e540:de23:c792:b390:8748:45590 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    28.291565000        55.4247
2409:8a55:d0b2:e540:de23:c792:b390:8748:45706 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    29.483148000        55.9397
2409:8a55:d0b2:e540:de23:c792:b390:8748:45940 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    33.736093000        55.1005
2409:8a55:d0b2:e540:de23:c792:b390:8748:46160 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    38.289411000        55.6668
2409:8a55:d0b2:e540:de23:c792:b390:8748:46280 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    39.479563000        57.8903
2409:8a55:d0b2:e540:de23:c792:b390:8748:46410 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    42.747445000        54.6223
2409:8a55:d0b2:e540:de23:c792:b390:8748:46446 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    43.740138000        55.3363
2409:8a55:d0b2:e540:de23:c792:b390:8748:46526 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    47.173967000        55.3156
2409:8a55:d0b2:e540:de23:c792:b390:8748:46558 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    48.301156000        54.1884
2409:8a55:d0b2:e540:de23:c792:b390:8748:46618 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    49.477461000        54.7189
2409:8a55:d0b2:e540:de23:c792:b390:8748:46810 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    52.746674000        54.8631
2409:8a55:d0b2:e540:de23:c792:b390:8748:46902 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    53.734574000        55.5822
2409:8a55:d0b2:e540:de23:c792:b390:8748:47038 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    57.170094000        55.5595
2409:8a55:d0b2:e540:de23:c792:b390:8748:47152 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    59.483208000        54.9534
2409:8a55:d0b2:e540:de23:c792:b390:8748:47284 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    62.743955000        55.1055
2409:8a55:d0b2:e540:de23:c792:b390:8748:47332 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      12 980 bytes      13 1080 bytes    63.734304000        55.8220
127.0.0.1:37330            <-> 127.0.0.1:60176                  6 634 bytes       7 1227 bytes      13 1861 bytes   113.509920000         0.0643
127.0.0.1:42298            <-> 127.0.0.1:60164                  6 634 bytes       7 1163 bytes      13 1797 bytes   115.793258000         0.0666
2409:8a55:d0b2:e540:de23:c792:b390:8748:47514 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      11 900 bytes      12 1000 bytes    67.172003000        28.4909
2409:8a55:d0b2:e540:de23:c792:b390:8748:47630 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      11 900 bytes      12 1000 bytes    69.479831000        27.8898
2409:8a55:d0b2:e540:de23:c792:b390:8748:47782 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      11 900 bytes      12 1000 bytes    72.749992000        28.0335
2409:8a55:d0b2:e540:de23:c792:b390:8748:47842 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      11 900 bytes      12 1000 bytes    73.734603000        27.0490
2409:8a55:d0b2:e540:de23:c792:b390:8748:48046 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      11 900 bytes      12 1000 bytes    79.486444000        28.1231
2409:8a55:d0b2:e540:de23:c792:b390:8748:48210 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      11 900 bytes      12 1000 bytes    82.744735000        27.2118
192.168.1.16:42330         <-> 183.240.98.215:443               6 414 bytes       5 324 bytes      11 738 bytes     0.089454000        34.3044
192.168.1.16:42404         <-> 183.240.98.215:443               6 414 bytes       5 324 bytes      11 738 bytes     3.503261000        33.3677
192.168.1.16:41890         <-> 183.240.98.215:443               6 414 bytes       5 324 bytes      11 738 bytes    17.156119000         3.7336
192.168.1.16:41960         <-> 183.240.98.215:443               6 414 bytes       5 324 bytes      11 738 bytes    18.862793000         4.3305
192.168.1.16:42100         <-> 183.240.98.215:443               6 414 bytes       5 324 bytes      11 738 bytes    23.982799000         3.6676
192.168.1.16:49928         <-> 124.71.59.199:7002               0 0 bytes        11 1180 bytes      11 1180 bytes    34.330377000        57.9194
192.168.1.16:46028         <-> 8.138.17.204:5669                4 359 bytes       7 590 bytes      11 949 bytes    50.643160000         0.0496
2409:8a55:d0b2:e540:de23:c792:b390:8748:48618 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      10 820 bytes      11 920 bytes    92.744711000        13.7994
2409:8a55:d0b2:e540:de23:c792:b390:8748:49056 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes      10 820 bytes      11 920 bytes   102.745173000        14.2512
192.168.1.16:48730         <-> 8.138.17.204:5669                4 326 bytes       7 595 bytes      11 921 bytes   110.648387000         0.0370
127.0.0.1:44460            <-> 127.0.0.1:60176                  5 360 bytes       5 348 bytes      10 708 bytes     3.748240000        61.1951
127.0.0.1:49496            <-> 127.0.0.1:60164                  5 449 bytes       5 348 bytes      10 797 bytes     5.876899000        50.0025
8.148.243.225:30138        <-> 192.168.1.16:42182               4 341 bytes       5 395 bytes       9 736 bytes     0.775333000         0.0100
192.168.1.16:49840         <-> 47.113.75.181:443                5 379 bytes       4 319 bytes       9 698 bytes     3.503197000        28.3462
192.168.1.16:41822         <-> 183.240.98.215:443               5 348 bytes       4 264 bytes       9 612 bytes    15.450077000         3.2012
192.168.1.16:42028         <-> 183.240.98.215:443               5 348 bytes       4 264 bytes       9 612 bytes    22.276860000         3.1341
192.168.1.16:42180         <-> 183.240.98.215:443               5 348 bytes       4 264 bytes       9 612 bytes    25.689482000         4.2383
192.168.1.16:42252         <-> 183.240.98.215:443               5 348 bytes       4 264 bytes       9 612 bytes    29.103331000         2.9938
2409:8a55:d0b2:e540:de23:c792:b390:8748:49548 <-> 2409:8c54:870:187:0:ff:b0d9:bb1c:443       1 100 bytes       8 660 bytes       9 760 bytes   112.744207000         3.6121
192.168.1.16:44058         <-> 42.193.229.107:30122             3 269 bytes       5 377 bytes       8 646 bytes     2.003231000         0.0129
192.168.1.16:47888         <-> 114.132.204.167:30139            3 269 bytes       5 377 bytes       8 646 bytes     6.260394000         0.0141
192.168.1.16:49704         <-> 113.45.75.182:30145              3 269 bytes       5 377 bytes       8 646 bytes     7.297232000         0.0120
127.0.0.1:60122            <-> 127.0.0.1:47484                  4 276 bytes       4 288 bytes       8 564 bytes     9.689917000        46.7198
127.0.0.1:60146            <-> 127.0.0.1:43084                  4 276 bytes       4 377 bytes       8 653 bytes    14.382947000        34.6752
127.0.0.1:47246            <-> 127.0.0.1:60138                  3 224 bytes       4 296 bytes       7 520 bytes     0.490156000         0.3914
8.148.243.225:30138        <-> 192.168.1.16:42172               3 269 bytes       4 329 bytes       7 598 bytes     0.711937000         0.0133
127.0.0.1:47266            <-> 127.0.0.1:60138                  3 224 bytes       4 296 bytes       7 520 bytes     0.881714000        10.1170
8.134.111.16:30122         <-> 192.168.1.16:40870               3 269 bytes       4 329 bytes       7 598 bytes     2.001055000         0.0107
127.0.0.1:48400            <-> 127.0.0.1:60122                  3 224 bytes       4 296 bytes       7 520 bytes     2.072194000        10.0815
42.193.229.107:30122       <-> 192.168.1.16:44060               3 269 bytes       4 329 bytes       7 598 bytes     2.214829000         0.0131
127.0.0.1:44974            <-> 127.0.0.1:60176                  3 224 bytes       4 296 bytes       7 520 bytes     2.739210000         0.4108
8.138.11.46:30176          <-> 192.168.1.16:45148               3 269 bytes       4 329 bytes       7 598 bytes     2.847377000         0.0122
8.138.11.46:30176          <-> 192.168.1.16:45166               3 269 bytes       4 329 bytes       7 598 bytes     3.079126000         0.0105
127.0.0.1:44996            <-> 127.0.0.1:60176                  3 224 bytes       4 296 bytes       7 520 bytes     3.149791000        10.0842
127.0.0.1:48460            <-> 127.0.0.1:60122                  3 224 bytes       4 296 bytes       7 520 bytes     3.728192000         8.6523
127.0.0.1:49936            <-> 127.0.0.1:60164                  3 224 bytes       4 296 bytes       7 520 bytes     5.026511000         0.4895
8.134.150.230:30164        <-> 192.168.1.16:39278               3 269 bytes       4 329 bytes       7 598 bytes     5.126504000         0.0106
127.0.0.1:49948            <-> 127.0.0.1:60164                  3 224 bytes       4 296 bytes       7 520 bytes     5.207495000        10.0758
8.134.150.230:30164        <-> 192.168.1.16:39296               3 269 bytes       4 329 bytes       7 598 bytes     5.346665000         0.0095
127.0.0.1:45026            <-> 127.0.0.1:60139                  3 224 bytes       4 296 bytes       7 520 bytes     5.972774000         0.6989
114.132.204.167:30139      <-> 192.168.1.16:47872               3 269 bytes       4 329 bytes       7 598 bytes     6.258929000         0.0134
127.0.0.1:45070            <-> 127.0.0.1:60139                  3 224 bytes       4 296 bytes       7 520 bytes     6.344155000        10.0753
114.132.204.167:30139      <-> 192.168.1.16:47916               3 269 bytes       4 329 bytes       7 598 bytes     6.563556000         0.0161
192.168.1.16:48762         <-> 172.217.112.4:443                0 0 bytes         7 560 bytes       7 560 bytes     6.932547000        64.8374
2409:8a55:d0b2:e540:de23:c792:b390:8748:41586 <-> 2001:4860:4843:400:::443         0 0 bytes         7 700 bytes       7 700 bytes     6.934513000        64.8353
192.168.1.16:46092         <-> 116.205.179.132:30138            3 224 bytes       4 296 bytes       7 520 bytes     7.024397000         0.0313
127.0.0.1:41830            <-> 127.0.0.1:60145                  3 224 bytes       4 296 bytes       7 520 bytes     7.167134000         0.5123
113.45.75.182:30145        <-> 192.168.1.16:49682               3 269 bytes       4 329 bytes       7 598 bytes     7.295178000         0.0120
113.45.75.182:30145        <-> 192.168.1.16:49706               3 269 bytes       4 329 bytes       7 598 bytes     7.586892000         0.0095
127.0.0.1:41852            <-> 127.0.0.1:60145                  3 224 bytes       4 296 bytes       7 520 bytes     7.679274000        10.0850
192.168.1.16:37298         <-> 113.45.75.182:30145              3 224 bytes       4 296 bytes       7 520 bytes     7.801870000         0.0231
127.0.0.1:44142            <-> 127.0.0.1:60146                  3 224 bytes       4 296 bytes       7 520 bytes     8.293503000         0.6244
8.163.70.125:30146         <-> 192.168.1.16:43788               3 269 bytes       4 329 bytes       7 598 bytes     8.835477000         0.0112
8.163.70.125:30146         <-> 192.168.1.16:43790               3 269 bytes       4 329 bytes       7 598 bytes     8.873784000         0.0116
127.0.0.1:44162            <-> 127.0.0.1:60146                  3 224 bytes       4 296 bytes       7 520 bytes     8.917418000        10.2248
192.168.1.16:46470         <-> 8.148.226.188:30146              3 224 bytes       4 296 bytes       7 520 bytes     8.919458000         0.0274
127.0.0.1:44146            <-> 127.0.0.1:60160                  3 224 bytes       4 296 bytes       7 520 bytes     9.475479000         0.3313
8.138.203.45:30160         <-> 192.168.1.16:47728               3 269 bytes       4 329 bytes       7 598 bytes     9.717127000         0.0123
8.138.203.45:30160         <-> 192.168.1.16:47730               3 269 bytes       4 329 bytes       7 598 bytes     9.746582000         0.0116
127.0.0.1:44156            <-> 127.0.0.1:60160                  3 224 bytes       4 296 bytes       7 520 bytes     9.806393000        10.2402
192.168.1.16:43284         <-> 113.45.6.108:30122               3 224 bytes       4 296 bytes       7 520 bytes    10.280244000         0.0234
127.0.0.1:47796            <-> 127.0.0.1:60138                  3 224 bytes       4 296 bytes       7 520 bytes    10.487516000         0.5978
127.0.0.1:47816            <-> 127.0.0.1:60138                  3 224 bytes       4 296 bytes       7 520 bytes    11.085278000        10.1061
127.0.0.1:48958            <-> 127.0.0.1:60122                  3 224 bytes       4 296 bytes       7 520 bytes    12.153351000        10.1403
127.0.0.1:45526            <-> 127.0.0.1:60176                  3 224 bytes       4 296 bytes       7 520 bytes    12.742539000         0.5945
127.0.0.1:45550            <-> 127.0.0.1:60176                  3 224 bytes       4 296 bytes       7 520 bytes    13.337555000        10.0786
127.0.0.1:49012            <-> 127.0.0.1:60122                  3 224 bytes       4 296 bytes       7 520 bytes    13.729024000         8.7432
192.168.1.16:45214         <-> 8.138.11.46:30176                0 0 bytes         7 504 bytes       7 504 bytes    14.809473000        92.7999
127.0.0.1:37492            <-> 127.0.0.1:60164                  3 224 bytes       4 296 bytes       7 520 bytes    15.029143000         0.5560
127.0.0.1:37512            <-> 127.0.0.1:60164                  3 224 bytes       4 296 bytes       7 520 bytes    15.283900000        10.0854
47.106.53.176:443          <-> 192.168.1.16:40442               3 247 bytes       4 307 bytes       7 554 bytes    15.849040000         0.0139
127.0.0.1:45588            <-> 127.0.0.1:60139                  3 224 bytes       4 296 bytes       7 520 bytes    15.973287000         0.7742
127.0.0.1:45608            <-> 127.0.0.1:60139                  3 224 bytes       4 296 bytes       7 520 bytes    16.747785000        10.0716
192.168.1.16:39862         <-> 172.217.119.4:443                0 0 bytes         7 560 bytes       7 560 bytes    17.160327000        64.8492
2409:8a55:d0b2:e540:de23:c792:b390:8748:46166 <-> 2001:4860:4842:400:::443         0 0 bytes         7 700 bytes       7 700 bytes    17.162398000        64.8473
127.0.0.1:42256            <-> 127.0.0.1:60145                  3 224 bytes       4 296 bytes       7 520 bytes    17.172739000         0.7051
127.0.0.1:42270            <-> 127.0.0.1:60145                  3 224 bytes       4 296 bytes       7 520 bytes    17.875718000        10.1701
127.0.0.1:44592            <-> 127.0.0.1:60146                  3 224 bytes       4 296 bytes       7 520 bytes    18.285880000         0.9404
127.0.0.1:44622            <-> 127.0.0.1:60146                  3 224 bytes       4 296 bytes       7 520 bytes    18.979896000        10.3789
127.0.0.1:44610            <-> 127.0.0.1:60160                  3 224 bytes       4 296 bytes       7 520 bytes    19.474871000         0.5069
127.0.0.1:44630            <-> 127.0.0.1:60160                  3 224 bytes       4 296 bytes       7 520 bytes    19.980235000        10.1414
127.0.0.1:48270            <-> 127.0.0.1:60138                  3 224 bytes       4 296 bytes       7 520 bytes    20.488416000         0.7960
127.0.0.1:48298            <-> 127.0.0.1:60138                  3 224 bytes       4 296 bytes       7 520 bytes    21.285116000        10.2239
127.0.0.1:49432            <-> 127.0.0.1:60122                  3 224 bytes       4 296 bytes       7 520 bytes    22.293698000        10.0780
192.168.1.16:37318         <-> 110.41.76.108:30122              3 224 bytes       4 296 bytes       7 520 bytes    22.474529000         0.0273
127.0.0.1:46044            <-> 127.0.0.1:60176                  3 224 bytes       4 296 bytes       7 520 bytes    22.740017000         0.7651
127.0.0.1:46068            <-> 127.0.0.1:60176                  3 224 bytes       4 296 bytes       7 520 bytes    23.504530000        10.1577
127.0.0.1:49532            <-> 127.0.0.1:60122                  3 224 bytes       4 296 bytes       7 520 bytes    23.728937000         8.9646
2409:8a55:d0b2:e540:de23:c792:b390:8748:40848 <-> 2001:4860:4847:400:::443         0 0 bytes         7 700 bytes       7 700 bytes    24.053795000        64.7830
2409:8a55:d0b2:e540:de23:c792:b390:8748:40850 <-> 2001:4860:4847:400:::443         0 0 bytes         7 700 bytes       7 700 bytes    24.091360000        64.7454
192.168.1.16:40314         <-> 172.217.119.4:443                0 0 bytes         7 560 bytes       7 560 bytes    24.357849000        64.4783
192.168.1.16:40322         <-> 172.217.119.4:443                0 0 bytes         7 560 bytes       7 560 bytes    24.394523000        64.4421
127.0.0.1:38050            <-> 127.0.0.1:60164                  3 224 bytes       4 296 bytes       7 520 bytes    25.025509000         0.6571
127.0.0.1:38072            <-> 127.0.0.1:60164                  3 224 bytes       4 296 bytes       7 520 bytes    25.369752000        10.0791
127.0.0.1:46150            <-> 127.0.0.1:60139                  3 224 bytes       4 296 bytes       7 520 bytes    25.972083000         1.0759
127.0.0.1:46174            <-> 127.0.0.1:60139                  3 224 bytes       4 296 bytes       7 520 bytes    27.048100000        10.2125
127.0.0.1:42802            <-> 127.0.0.1:60145                  3 224 bytes       4 296 bytes       7 520 bytes    27.167510000         0.0914
127.0.0.1:42874            <-> 127.0.0.1:60145                  3 224 bytes       4 296 bytes       7 520 bytes    28.045139000        10.1969
127.0.0.1:45162            <-> 127.0.0.1:60146                  3 224 bytes       4 296 bytes       7 520 bytes    28.288731000         0.9905
127.0.0.1:45224            <-> 127.0.0.1:60146                  3 224 bytes       4 296 bytes       7 520 bytes    29.278707000        10.2810
192.168.1.16:45414         <-> 8.163.70.125:30146               3 224 bytes       4 296 bytes       7 520 bytes    29.436987000         0.0228
127.0.0.1:45202            <-> 127.0.0.1:60160                  3 224 bytes       4 296 bytes       7 520 bytes    29.478141000         0.8486
2409:8a55:d0b2:e540:de23:c792:b390:8748:41212 <-> 2001:4860:4847:400:::443         0 0 bytes         7 700 bytes       7 700 bytes    30.054268000        63.9020
127.0.0.1:45226            <-> 127.0.0.1:60160                  3 224 bytes       4 296 bytes       7 520 bytes    30.122285000        10.0649
192.168.1.16:49610         <-> 175.178.178.53:30160             3 224 bytes       4 296 bytes       7 520 bytes    30.330672000         0.0290
192.168.1.16:47100         <-> 172.217.116.4:443                0 0 bytes         7 560 bytes       7 560 bytes    30.355909000        63.6005
127.0.0.1:48884            <-> 127.0.0.1:60138                  3 224 bytes       4 296 bytes       7 520 bytes    30.487830000         0.9449
127.0.0.1:48910            <-> 127.0.0.1:60138                  3 224 bytes       4 296 bytes       7 520 bytes    31.508928000        10.1115
127.0.0.1:37046            <-> 127.0.0.1:60122                  3 224 bytes       4 296 bytes       7 520 bytes    32.371671000        10.0630
127.0.0.1:46616            <-> 127.0.0.1:60176                  3 224 bytes       4 296 bytes       7 520 bytes    32.739036000        10.1794
192.168.1.16:39268         <-> 139.159.218.141:30122            3 224 bytes       4 296 bytes       7 520 bytes    32.979183000         0.0243
127.0.0.1:37124            <-> 127.0.0.1:60122                  3 224 bytes       4 296 bytes       7 520 bytes    33.729472000         9.0478
127.0.0.1:38596            <-> 127.0.0.1:60164                  3 224 bytes       4 296 bytes       7 520 bytes    35.028809000         0.7037
127.0.0.1:38642            <-> 127.0.0.1:60164                  3 224 bytes       4 296 bytes       7 520 bytes    35.732213000        10.0616
192.168.1.16:45720         <-> 8.163.70.125:30146               3 224 bytes       4 296 bytes       7 520 bytes    35.753035000         0.0211
127.0.0.1:46724            <-> 127.0.0.1:60139                  3 224 bytes       4 296 bytes       7 520 bytes    35.974472000         1.1998
192.168.1.16:49212         <-> 8.134.83.115:30138               3 224 bytes       4 296 bytes       7 520 bytes    36.136791000         0.0303
127.0.0.1:43416            <-> 127.0.0.1:60145                  3 224 bytes       4 296 bytes       7 520 bytes    37.168629000         0.9822
127.0.0.1:46804            <-> 127.0.0.1:60139                  3 224 bytes       4 296 bytes       7 520 bytes    37.260264000        10.1709
127.0.0.1:43456            <-> 127.0.0.1:60145                  3 224 bytes       4 296 bytes       7 520 bytes    38.242519000        10.0615
127.0.0.1:45732            <-> 127.0.0.1:60146                  3 224 bytes       4 296 bytes       7 520 bytes    38.286519000         1.1851
192.168.1.16:37652         <-> 42.193.185.105:30160             3 224 bytes       4 296 bytes       7 520 bytes    38.902810000         0.0349
127.0.0.1:45810            <-> 127.0.0.1:60146                  3 224 bytes       4 296 bytes       7 520 bytes    39.471120000        10.2666
